name,glrm_rp,glrm_sre,glrm_lre,glrm_gln,glrm_rln,glrm_lgre,glrm_hgre,glrm_srlge,glrm_srhge,glrm_lrlge,glrm_lrhge,class
RT22_8.jpg,0.0029449462890625,1829119242.6981373,3942.647668393782,3109190.3316062177,7459469.906735751,1.0503555226685803,123192.73575129533,1829119171.2102294,723950129153.4845,14.160739857116724,1117965.207253886,piso
RT22_23.jpg,0.003387451171875,1644099159.8650107,3228.891891891892,2167314.5495495494,6823182.18018018,0.9887006857706072,101479.25225225225,1644099099.3071163,617611101378.0145,12.306500363970601,869750.5495495496,piso
RT22_29.jpg,0.0030975341796875,1688768541.2972586,4435.467980295566,3024321.6551724137,6756440.157635468,1.0265653449582577,112977.70935960591,1688768473.1280537,648735146553.1886,16.35229027215246,1223945.945812808,piso
RT22_18.jpg,0.0029144287109375,1801780174.7296388,5690.261780104712,3828503.9685863876,7155632.146596858,1.0130161552913408,125256.61256544503,1801780104.9209235,706795103703.5082,18.719559826996562,1748775.2094240838,piso
RT22_2.jpg,0.002685546875,1975511439.4837234,6457.363636363636,4791851625,7896096.818181818,1.0676211860938822,139770.6875,1975511363.8571334,801504402873.1886,20.858992997258877,2012612.8068181819,piso
RT22_28.jpg,0.0028228759765625,1789729804.5136123,5703.518918918919,3865708.810810811,6991453.405405405,1.0252456341758995,131114.57297297296,1789729729.9486177,715542081294.1221,18.46853494673735,1783157.7513513514,piso
RT22_36.jpg,0.0029144287109375,1855811590.341119,3813.1204188481674,3239127.4659685865,7579097.130890053,1.0790080610571462,120059.62303664921,1855811518.5555654,701425521917.4088,13.408524851396601,1103065.6858638744,piso
RT22_22.jpg,0.00299072265625,1716836803.5899904,6348.561224489796,3316520.785714286,6728303.765306123,0.9747676948476061,125220.87755102041,1716836734.8966043,698881811247.8025,20.82605690362292,1957393.1785714286,piso
RT22_34.jpg,0.0034942626953125,1321965126.3270679,8645.25327510917,3059226.8733624453,4891905.344978166,0.8553563082630374,105407.58951965066,1321965065.6832023,533787708197.6793,29.484803865094964,2567273.986899563,piso
RT22_9.jpg,0.003662109375,1313125053.1324832,7749.120833333333,2424392.0,4855929.416666667,0.8267519799098958,97826.35833333334,1313125000.1619756,517671810569.80396,26.13755120109136,2335528.970833333,piso
RT22_11.jpg,0.0029296875,1903593821.571254,3392.5572916666665,3081024.84375,7939541.78125,1.1120495577336973,118337.07291666667,1903593750.2401419,722739398793.3048,12.762932843501105,917583.90625,piso
RT22_14.jpg,0.0030670166015625,1596865741.949786,6059.0099502487565,3628000.0,6157111.004975124,1.0788723455860834,112426.40298507463,1596865671.8739438,610982064145.3883,24.4461549639447,1530864.985074627,piso
RT22_3.jpg,0.003448486328125,1367743426.224292,6192.092920353983,3155365.8938053097,5177328.327433628,0.9145674074276138,101798.71238938053,1367743363.031554,525156349827.58234,22.121324860130912,1760119.3451327435,piso
RT22_12.jpg,0.0030517578125,1704950068.6189947,4740025,3259253.22,6773550.58,1.088326326858753,112318395,1704950000.2320046,649720473011.4526,18.577082489261382,1233548.81,piso
RT22_38.jpg,0.003021240234375,1712121278.9097574,5557.636363636364,3527525.1818181816,6716849.151515151,1.0141349122856214,117555.0808080808,1712121212.3275084,661882649704.6326,19.257323669028402,1622623.0505050505,piso
RT22_30.jpg,0.0025482177734375,2293353378.207201,2297.7005988023952,3749869.7125748503,9960549.520958085,1.3458168081657829,131884.93413173652,2293353293.7155676,841858649760.4237,9.354020892127872,579319.6047904191,piso
RT22_7.jpg,0.0032196044921875,1675592479.8207908,4552.341232227488,2609343.6587677724,6767287.232227488,0.9821460611689911,109568.55924170616,1675592417.2633,642266277619.6447,16.03282629113936,1315663.981042654,piso
